file_name,tSNE1,tSNE2,face_name,Target,Network,Iteration
sample/face_159.png,24.948544,3.839696,Ambiguity_Chain4_Node11.png,Ambiguity,4,11
sample/face_845.png,28.674118,-7.0221715,ConsensusHappy_Chain14_Node3.png,ConsensusHappy,14,3
sample/face_773.png,-16.903612,-1.0794834,ConsensusHappy_Chain11_Node48.png,ConsensusHappy,11,48
sample/face_489.png,-14.121213,27.1092,ConsensusHappy_Chain1_Node72.png,ConsensusHappy,1,72
sample/face_317.png,13.954288,7.6475315,Ambiguity_Chain16_Node44.png,Ambiguity,16,44
sample/face_16.png,10.312525,-10.289291,Ambiguity_Chain16_Node0.png,Ambiguity,16,0
sample/face_774.png,-17.954105,-1.3998164,ConsensusHappy_Chain11_Node52.png,ConsensusHappy,11,52
sample/face_1116.png,44.35318,-39.917778,ConsensusSad_Chain23_Node48.png,ConsensusSad,23,48
sample/face_1155.png,-35.053467,-19.279392,ConsensusSad_Chain25_Node3.png,ConsensusSad,25,3
sample/face_738.png,-15.843784,23.604208,ConsensusHappy_Chain10_Node28.png,ConsensusHappy,10,28
sample/face_90.png,-70.62413,-20.946829,Ambiguity_Chain3_Node5.png,Ambiguity,3,5
sample/face_66.png,-58.50207,-15.1525135,Ambiguity_Chain10_Node5.png,Ambiguity,10,5
sample/face_1084.png,45.327114,-37.039917,ConsensusSad_Chain22_Node32.png,ConsensusSad,22,32
sample/face_805.png,-70.68966,-7.6784015,ConsensusHappy_Chain12_Node56.png,ConsensusHappy,12,56
sample/face_250.png,-17.071,-16.481825,Ambiguity_Chain9_Node28.png,Ambiguity,9,28
sample/face_726.png,49.822052,-10.896367,ConsensusHappy_Chain10_Node3.png,ConsensusHappy,10,3
sample/face_742.png,-3.7757792,22.726723,ConsensusHappy_Chain10_Node44.png,ConsensusHappy,10,44
sample/face_1027.png,-30.768528,-17.751947,ConsensusSad_Chain20_Node28.png,ConsensusSad,20,28
sample/face_965.png,23.594187,-28.684473,ConsensusSad_Chain18_Node9.png,ConsensusSad,18,9
sample/face_1157.png,-34.03511,-19.758255,ConsensusSad_Chain25_Node5.png,ConsensusSad,25,5
sample/face_784.png,40.51975,-3.9248226,ConsensusHappy_Chain12_Node1.png,ConsensusHappy,12,1
sample/face_494.png,18.144884,15.226421,ConsensusHappy_Chain2_Node2.png,ConsensusHappy,2,2
sample/face_1095.png,-61.416973,-29.368662,ConsensusSad_Chain22_Node76.png,ConsensusSad,22,76
sample/face_829.png,-33.067417,16.110344,ConsensusHappy_Chain13_Node32.png,ConsensusHappy,13,32
sample/face_832.png,37.103035,2.954528,ConsensusHappy_Chain13_Node44.png,ConsensusHappy,13,44
