"","Network","Iteration","f","h","m","nw","nh","ew","eh","b","Target"
"557","7","34",1,-1,-0.22992299229923,0.217921792179218,0.0167016701670167,0.54025402540254,0.678967896789679,1,"Ambiguity"
"558","15","31",0.20962096209621,-1,-0.0941094109410942,0.294329432943294,1,0.203420342034203,0.534653465346535,0.537653765376538,"Ambiguity"
"559","6","33",0.109110911091109,-0.642164216421642,0.212121212121212,0.258825882588259,0.364336433643364,0.945094509450945,0.374337433743374,1,"Ambiguity"
"561","8","33",0.0632063206320632,0.312731273127313,0.0355035503550354,0.542954295429543,0.152215221522152,0,1,1,"Ambiguity"
"562","3","36",0.358935893589359,-0.111311131113111,-0.211321132113211,0.207420742074207,1,0.414141414141414,0,0,"Ambiguity"
"563","6","34",0.109110911091109,-0.0175017501750176,0.212121212121212,0.258825882588259,0.364336433643364,0.945094509450945,0.374337433743374,1,"Ambiguity"
"564","14","35",0.656065606560656,-0.624762476247625,-0.105710571057106,0.151515151515152,0.796579657965797,1,0.0596059605960596,0.643964396439644,"Ambiguity"
"565","16","34",0,-1,-1,0.454645464546455,0.0795079507950795,0.112711271127113,0.248424842484248,0.664066406640664,"Ambiguity"
"566","15","32",0.20962096209621,-0.981198119811981,-0.0941094109410942,0.294329432943294,1,0.203420342034203,0.534653465346535,0.537653765376538,"Ambiguity"
"568","7","35",1,-1,-0.22992299229923,0.217921792179218,0.0167016701670167,1,0.678967896789679,1,"Ambiguity"
"569","2","34",0.453145314531453,-0.062906290629063,-0.035903590359036,1,0.46044604460446,0.73977397739774,1,0.215021502150215,"Ambiguity"
"570","8","34",0.0632063206320632,0.312731273127313,0.0355035503550354,0.542954295429543,0,0,1,1,"Ambiguity"
"571","1","35",0,-0.697969796979698,-0.0095009500950096,0.907790779077908,0,0.225322532253225,0.173817381738174,0.896489648964896,"Ambiguity"
"572","12","33",0.340634063406341,-0.0037003700370038,-0.282328232823282,0.335133513351335,0.433243324332433,0,0.122412241224122,1,"Ambiguity"
"573","2","35",0.453145314531453,-0.062906290629063,-0.035903590359036,0.312331233123312,0.46044604460446,0.73977397739774,1,0.215021502150215,"Ambiguity"
"574","13","38",0.472647264726473,0.802180218021802,-0.0767076707670768,0.421542154215422,0.693269326932693,0.578357835783578,0,0.273127312731273,"Ambiguity"
"576","16","35",0,-1,-1,0.454645464546455,1,0.112711271127113,0.248424842484248,0.664066406640664,"Ambiguity"
"577","11","34",0.703370337033703,-0.26032603260326,-0.8995899589959,0.960896089608961,0,0.157815781578158,0.0705070507050705,1,"Ambiguity"
"578","15","33",0.20962096209621,-0.981198119811981,-0.0191019101910192,0.294329432943294,1,0.203420342034203,0.534653465346535,0.537653765376538,"Ambiguity"
"579","12","34",0.77977797779778,-0.0037003700370038,-0.282328232823282,0.335133513351335,0.433243324332433,0,0.122412241224122,1,"Ambiguity"
"580","6","35",0.109110911091109,-0.0175017501750176,-0.302330233023302,0.258825882588259,0.364336433643364,0.945094509450945,0.374337433743374,1,"Ambiguity"
"581","9","37",0.383038303830383,-0.190919091909191,0.47974797479748,0.404040404040404,0.546654665466547,0.424042404240424,1,0,"Ambiguity"
"582","5","30",0.152215221522152,-1,-0.0201020102010202,0.93969396939694,0.397939793979398,0.650665066506651,0.13971397139714,0.252125212521252,"Ambiguity"
"583","3","37",0.358935893589359,-0.111311131113111,-0.211321132113211,1,1,0.414141414141414,0,0,"Ambiguity"
"584","11","35",0.703370337033703,-0.26032603260326,-0.8995899589959,0.960896089608961,0,0.157815781578158,0.0705070507050705,0,"Ambiguity"
"585","5","31",0.152215221522152,-1,0.325532553255325,0.93969396939694,0.397939793979398,0.650665066506651,0.13971397139714,0.252125212521252,"Ambiguity"
"586","5","32",0.152215221522152,-1,0.325532553255325,0.0078007800780078,0.397939793979398,0.650665066506651,0.13971397139714,0.252125212521252,"Ambiguity"
"587","15","34",0.20962096209621,-0.981198119811981,-0.0191019101910192,0.0781078107810781,1,0.203420342034203,0.534653465346535,0.537653765376538,"Ambiguity"
"588","5","33",0.152215221522152,-1,0.325532553255325,0.0078007800780078,0.607160716071607,0.650665066506651,0.13971397139714,0.252125212521252,"Ambiguity"
"589","1","36",0,-1,-0.0095009500950096,0.907790779077908,0,0.225322532253225,0.173817381738174,0.896489648964896,"Ambiguity"
"590","2","36",0.453145314531453,-0.062906290629063,-0.035903590359036,0.312331233123312,1,0.73977397739774,1,0.215021502150215,"Ambiguity"
"591","7","36",1,-1,-0.22992299229923,0.217921792179218,0.0167016701670167,1,0.678967896789679,1,"Ambiguity"
"592","8","35",0.0632063206320632,0.312731273127313,0.0355035503550354,0.542954295429543,0.745874587458746,0,1,1,"Ambiguity"
"593","4","38",0.0055005500550055,0.121512151215121,0.220922092209221,0.589158915891589,1,0.116211621162116,0.481248124812481,0.53035303530353,"Ambiguity"
"594","10","36",1,0.082108210821082,-1,0.992599259925993,0.375437543754375,1,0.283928392839284,0.715771577157716,"Ambiguity"
"595","12","35",0.77977797779778,-0.873187318731873,-0.282328232823282,0.335133513351335,0.433243324332433,0,0.122412241224122,1,"Ambiguity"
"596","4","39",0.0055005500550055,0.121512151215121,-0.337533753375338,0.589158915891589,1,0.116211621162116,0.481248124812481,0.53035303530353,"Ambiguity"
"597","10","37",1,0.082108210821082,-1,0.992599259925993,0.375437543754375,1,0.133013301330133,0.715771577157716,"Ambiguity"
"598","6","36",0.109110911091109,-0.0175017501750176,-0.302330233023302,0.499349934993499,0.364336433643364,0.945094509450945,0.374337433743374,1,"Ambiguity"
"599","16","36",0,-1,-1,0.454645464546455,1,0.112711271127113,0.149314931493149,0.664066406640664,"Ambiguity"
"600","14","36",0.656065606560656,-0.540754075407541,-0.105710571057106,0.151515151515152,0.796579657965797,1,0.0596059605960596,0.643964396439644,"Ambiguity"
"601","11","36",0.393939393939394,-0.26032603260326,-0.8995899589959,0.960896089608961,0,0.157815781578158,0.0705070507050705,0,"Ambiguity"
"602","15","35",0.20962096209621,-0.981198119811981,-0.0191019101910192,0.0781078107810781,0.442944294429443,0.203420342034203,0.534653465346535,0.537653765376538,"Ambiguity"
"603","5","34",0.152215221522152,-1,0.325532553255325,0.0078007800780078,0.607160716071607,0.888988898889889,0.13971397139714,0.252125212521252,"Ambiguity"
"604","4","40",0.0055005500550055,0.121512151215121,-0.337533753375338,1,1,0.116211621162116,0.481248124812481,0.53035303530353,"Ambiguity"
"605","13","39",0.472647264726473,0.802180218021802,-0.0767076707670768,0.421542154215422,0.693269326932693,0.517251725172517,0,0.273127312731273,"Ambiguity"
"606","10","38",1,0.082108210821082,-1,0.992599259925993,0.375437543754375,1,0.133013301330133,1,"Ambiguity"
"607","4","41",0.0055005500550055,0.121512151215121,-0.337533753375338,1,0.622462246224622,0.116211621162116,0.481248124812481,0.53035303530353,"Ambiguity"
"608","3","38",0.358935893589359,-0.111311131113111,-0.211321132113211,1,0.25042504250425,0.414141414141414,0,0,"Ambiguity"
"609","10","39",1,0.082108210821082,-1,0.992599259925993,0.375437543754375,1,0.133013301330133,1,"Ambiguity"
"610","13","40",0.472647264726473,0.802180218021802,-0.0767076707670768,0.421542154215422,0.693269326932693,0.517251725172517,0.0123012301230123,0.273127312731273,"Ambiguity"
"611","9","38",0.383038303830383,-0.190919091909191,0.47974797479748,0.404040404040404,0,0.424042404240424,1,0,"Ambiguity"
"613","3","39",0.358935893589359,-0.111311131113111,-0.211321132113211,1,0.25042504250425,0,0,0,"Ambiguity"
"614","16","37",0,-1,-1,0.454645464546455,1,0.112711271127113,0.762676267626763,0.664066406640664,"Ambiguity"
"615","3","40",0.358935893589359,-0.111311131113111,-0.211321132113211,1,0.25042504250425,0,0,1,"Ambiguity"
"616","4","42",0.0055005500550055,0.121512151215121,-0.337533753375338,1,0.622462246224622,0,0.481248124812481,0.53035303530353,"Ambiguity"
"617","13","41",0.472647264726473,0.802180218021802,-0.0767076707670768,0.421542154215422,0.693269326932693,0.517251725172517,0.0123012301230123,0,"Ambiguity"
"618","9","39",0.383038303830383,-0.190919091909191,0.47974797479748,0.404040404040404,0,0.187418741874187,1,0,"Ambiguity"
"619","4","43",0.0055005500550055,0.121512151215121,-0.337533753375338,1,0.622462246224622,0,1,0.53035303530353,"Ambiguity"
"620","9","40",0.383038303830383,-0.190919091909191,0.47974797479748,0.404040404040404,0,0.187418741874187,0,0,"Ambiguity"
"621","16","38",0,-1,-1,0.454645464546455,1,0.112711271127113,0.762676267626763,1,"Ambiguity"
"622","8","36",0.0632063206320632,0.312731273127313,0.0355035503550354,0.542954295429543,0.745874587458746,0.041004100410041,1,1,"Ambiguity"
